--- model = GaussianMixture(n_components=8, random_state=42)
2-2-2-2-1-1	1	be/bé
2-2-2-2-1-1	1	el
2-2-2-2-2-1	1	előre
2-2-2-2-1-1	1	fel/föl
2-2-2-1-1-1	1	haza
2-2-2-2-1-1	1	ide
2-2-2-2-1-1	1	ki
2-2-2-2-1-1	1	le
2-2-2-1-1-1	1	meg
2-2-2-2-1-1	1	oda
2-2-2-2-1-1	1	össze
2-2-2-1-1-1	1	szét
2-2-2-2-1-1	1	vissza
1-1-2-2-1-1	2	bent
1-1-2-1-1-1	2	együtt
1-1-2-1-1-1	2	ellen
2-1-2-1-1-1	2	elő
2-1-2-2-1-1	2	fenn
1-1-2-2-1-1	2	kívül
1-1-2-1-1-2	2	közé
1-1-2-1-1-1	2	túl
1-1-2-1-1-1	2	viszont
1-1-2-1-2-1	3	egybe
1-1-2-1-2-1	3	egyet
1-1-2-1-2-1	3	ellent
1-1-2-1-2-1	3	helyt
1-1-2-1-2-1	3	jóvá
1-1-2-1-2-1	3	kölcsön
2-1-2-1-2-1	3	közbe
1-1-2-1-2-1	3	közre
1-1-2-1-2-1	3	létre
1-1-2-1-2-1	3	rendre
1-1-2-1-2-1	3	szembe
1-1-2-1-2-1	3	tetten
1-1-2-1-2-1	3	tovább
1-1-2-1-2-1	3	újra
2-1-2-1-2-1	3	végig
1-1-2-1-2-1	3	végre
1-1-1-1-1-2	4	fölé
1-1-1-1-1-2	4	mellé
1-1-1-1-1-2	4	rajta
1-1-1-1-1-2	4	utána
1-1-1-1-1-1	5	alább
1-1-1-1-1-1	5	által
1-1-1-1-1-1	5	alul
1-1-1-2-1-1	5	benn
1-1-1-1-1-1	5	felül/fölül
1-1-1-1-1-1	5	hanyatt
1-1-1-1-1-1	5	kinn
1-1-1-1-1-1	5	külön
1-1-1-1-1-1	5	nyilván
1-1-1-1-1-1	5	ott
1-2-1-2-1-1	5	széjjel
1-2-1-1-1-1	5	szerte
1-1-1-1-1-1	5	zokon
2-1-1-1-2-1	6	abba
2-1-1-1-2-1	6	agyon
2-1-1-2-2-1	6	félre
2-1-1-2-1-1	6	fönn
2-2-1-2-2-1	6	hátra
2-1-1-1-2-1	6	helyre
2-1-1-1-2-1	6	körbe
2-2-1-1-1-1	6	körül
2-1-1-1-1-1	6	odább/odébb
2-1-1-1-2-1	6	szárba
2-1-1-1-1-1	6	tele/teli
2-2-1-1-1-1	6	tova
2-1-1-1-1-1	6	utol
2-1-1-1-2-1	6	útra
2-1-1-1-2-1	6	zsebre
2-2-2-2-1-2	7	alá
2-2-2-1-1-2	7	bele/belé
2-2-1-2-1-2	7	elé
2-2-2-1-1-2	7	hozzá
2-2-1-1-1-2	7	neki
2-2-2-1-1-2	7	rá/reá
